area_sqft,bedrooms,bathrooms,floors,house_age,city_distance_km,location_type,parking,price
857,2,1.4,1,10,1.7,Urban,Yes,15926948.0
3595,5,2.7,2,17,7.7,Suburban,No,54910976.0
3118,5,4.0,3,12,28.2,Urban,Yes,49740251.0
2255,2,1.7,3,11,12.6,Urban,Yes,35756671.0
2232,3,2.0,3,19,6.1,Suburban,No,34512427.0
3934,6,2.7,1,38,7.3,Suburban,Yes,59898324.0
843,1,1.0,1,34,19.0,Urban,Yes,14345178.0
3289,6,4.2,3,13,29.8,Rural,Yes,50225142.0
1305,4,3.2,2,42,3.4,Suburban,Yes,21419169.0
876,1,1.2,1,9,2.0,Urban,Yes,16164748.0
2605,3,1.2,3,40,16.8,Suburban,No,40105137.0
4402,7,4.7,2,13,33.5,Urban,No,68062357.0
3443,7,5.0,1,24,10.5,Urban,Yes,55533729.0
3544,4,1.8,3,9,33.6,Suburban,Yes,54125035.0
3369,5,3.2,2,34,31.2,Urban,No,51297562.0
3644,7,4.7,2,14,10.6,Urban,Yes,58274785.0
2552,3,1.8,3,39,28.8,Suburban,No,37449255.0
1012,1,1.0,2,3,24.3,Urban,Yes,16983176.0
3858,6,3.7,2,22,18.4,Suburban,No,58758414.0
2301,3,1.8,2,7,15.4,Suburban,No,35420401.0
2501,4,2.5,1,40,28.7,Urban,Yes,38291647.0
1983,3,1.7,1,18,28.0,Suburban,Yes,30194306.0
1230,1,1.0,3,30,26.7,Urban,No,19503105.0
4207,7,4.5,1,39,34.9,Suburban,Yes,63577929.0
3626,5,3.5,2,24,17.3,Urban,Yes,55717432.0
3075,6,3.7,1,2,28.4,Rural,Yes,46720946.0
2109,3,1.7,1,9,30.3,Urban,Yes,32504170.0
3791,5,3.3,2,9,8.2,Suburban,Yes,58886927.0
2681,5,2.3,3,41,2.4,Urban,Yes,43180193.0
2273,4,2.8,2,40,14.8,Urban,Yes,36268347.0
2301,4,2.6,1,21,30.1,Suburban,No,34581968.0
1408,1,1.0,1,40,10.8,Suburban,Yes,21453484.0
868,2,1.8,1,11,24.8,Rural,Yes,13062849.0
2718,3,1.0,3,30,1.2,Urban,Yes,42388399.0
4051,6,2.9,1,17,13.1,Urban,No,63069168.0
755,1,1.0,2,10,21.9,Urban,Yes,13635812.0
3933,6,3.9,1,11,5.4,Urban,No,62150703.0
3810,5,3.3,2,18,31.5,Rural,Yes,56666243.0
1607,1,1.0,3,15,6.3,Rural,Yes,25057613.0
3026,5,3.6,2,9,31.9,Rural,No,45283088.0
1160,2,1.8,2,15,8.4,Urban,No,20017276.0
3532,5,3.5,1,5,34.8,Urban,Yes,54542489.0
3302,6,3.8,1,43,21.6,Suburban,Yes,50389008.0
1918,3,1.0,3,17,3.9,Urban,Yes,30435670.0
771,1,1.0,1,4,3.2,Suburban,Yes,13225239.0
4382,7,5.0,2,25,3.5,Urban,No,68732990.0
2282,3,2.3,1,39,21.1,Urban,No,34900278.0
4072,7,4.1,1,16,28.5,Rural,Yes,62343285.0
3211,5,3.6,2,38,14.7,Urban,Yes,49782990.0
